BEDS,school,clean_school,charter,print_diff
400800010012,GERALDINE J MANN SCHOOL,Mann,,
400800010031,HARRY F ABATE ELEMENTARY SCHOOL,Abate Elementary,,
400800010015,HENRY J KALFAS MAGNET SCHOOL,Kalfas Magnet,,
400800010020,HYDE PARK SCHOOL,Hyde Park,,
400800010041,LASALLE PREPARATORY SCHOOL,LaSalle Preparatory,,
400800010021,MAPLE AVENUE SCHOOL,Maple Avenue,,
400800010022,NIAGARA STREET SCHOOL,Niagara Street,,
400800010010,SEVENTY NINTH STREET SCHOOL,Seventy Ninth Street,,
400701060000,NIAGARA-WHEATFIELD CENTRAL SCHOOL DISTRICT,NIAGARA WHEATFIELD SCH. DIST.,,
400701060004,COLONIAL VILLAGE ELEMENTARY SCHOOL,Colonial Village Elem.,,
400701060009,EDWARD TOWN MIDDLE SCHOOL,Edward Town Middle,,
400701060005,ERRICK ROAD ELEMENTARY SCHOOL,Errick Road Elementary,,
400701860890,NIAGARA CHARTER SCHOOL,Niagara Charter,x,
400701060003,TUSCARORA ELEMENTARY SCHOOL,Tuscarora Elementary,,
400701060002,WEST STREET ELEMENTARY SCHOOL,West Street Elementary,,
400900010000,NORTH TONAWANDA CITY SCHOOL DISTRICT,NORTH TONAWANDA SCH. DIST.,,
400900010003,DRAKE SCHOOL,Drake,,
400900010007,MEADOW SCHOOL,Meadow,,
400900010012,NORTH TONAWANDA MIDDLE SCHOOL,North Tonawanda Middle,,
400900010008,OHIO ELEMENTARY SCHOOL,Ohio Elementary,,
400900010009,SPRUCE SCHOOL,Spruce,,
401201060000,ROYALTON-HARTLAND CENTRAL SCHOOL DISTRICT,ROY-HART SCHOOL DISTRICT,,
401201060001,ROYALTON-HARTLAND ELEMENTARY SCHOOL,Royalton-Hartland Elem.,,
401201060004,ROYALTON-HARTLAND MIDDLE SCHOOL,Royalton-Hartland Middle,,
401001060000,STARPOINT CENTRAL SCHOOL DISTRICT,STARPOINT SCHOOL DISTRICT,,
401001060002,REGAN INTERMEDIATE SCHOOL,Regan Intermediate,,
